query3224.smt2.copy1.smt, (sat, [r4 = "C", r5 = "", r9 = "", r14 = "", r7 = "S", r11 = "", r8 = "", r10 = "", r12 = "A", r3 = "C", r6 = "", r13 = "", r0 = "CACCBAC"], 155)
query7985.smt2.copy3.smt, (sat, [r4 = "B", r5 = "", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "C", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "C", r10 = "", r3 = "", r6 = "BC", r18 = "", r0 = "CBCCACBC"], 136)
query8867.smt2.copy3.smt, (sat, [r4 = "", r5 = "BCBA", r16 = "", r15 = "", r7 = "!0!", r17 = "", r12 = "AC", r13 = "", r9 = "!2!", r14 = "A", r8 = "!1!", r11 = "", r10 = "!3!", r3 = "", r6 = "", r18 = "", r0 = "CACBCBAAA"], 47)
query3111.smt2.smt, TO
query2885.smt2.copy1.smt, (sat, [r5 = "", r4 = "", r9 = "", r1 = "", r7 = "", r11 = "C", r12 = "", r10 = "C", r8 = "", r2 = "", r3 = "A", r6 = "", r0 = "ACACACA"], 56)
query6481.smt2.copy1.smt, (sat, [r4 = "B", r5 = "A", r16 = "", r15 = "A", r7 = "", r17 = "A", r12 = "I", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "J", r10 = "", r3 = "", r6 = "", r18 = "", r0 = "ABBACAB"], 99)
query3325.smt2.copy2.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "A", r13 = "AC", r9 = "C", r14 = "", r8 = "", r11 = "", r10 = "CB", r3 = "MNOP", r6 = "", r18 = "", r0 = "BACACACB"], 122)
query3325.smt2.smt, TO
query8855.smt2.copy2.smt, (sat, [r4 = "", r5 = "", r9 = "!0!", r1 = "E", r8 = "", r7 = "", r2 = "D", r10 = "!1!", r11 = "!2!", r12 = "!3!", r3 = "", r6 = "", r0 = "ACACCC"], 27)
query3111.smt2.copy3.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "", r7 = "NOP", r17 = "", r12 = "C", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "AA", r10 = "", r3 = "", r6 = "ABC", r18 = "", r0 = "AAACAABC"], 205)
query8523.smt2.copy3.smt, (sat, [r4 = "A", r5 = "A", r16 = "", r15 = "G", r7 = "F", r17 = "", r12 = "A", r13 = "", r14 = "A", r9 = "", r8 = "", r11 = "A", r10 = "", r3 = "", r6 = "", r18 = "", r0 = "AAAACBCA"], 59)
query3541.smt2.copy1.smt, (sat, [r4 = "B", r5 = "", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "", r10 = "", r3 = "B", r6 = "", r18 = "AC", r0 = "BABCCAC"], 183)
query3476.smt2.copy1.smt, TO
query3555.smt2.copy3.smt, (sat, [r4 = "C", r5 = "C", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "B", r13 = "A", r9 = "", r14 = "", r8 = "", r11 = "C", r10 = "I", r3 = "", r6 = "B", r18 = "", r0 = "CCBCACBB"], 82)
query5753.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "A", r15 = "B", r7 = "", r17 = "A", r12 = "", r13 = "", r14 = "", r9 = "C", r8 = "B", r11 = "", r10 = "", r3 = "", r6 = "", r18 = "", r0 = "BBACACCB"], 62)
query7820.smt2.copy2.smt, (sat, [r4 = "Q", r5 = "", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "B", r13 = "A", r14 = "", r9 = "A", r8 = "A", r11 = "B", r10 = "", r3 = "", r6 = "S", r18 = "", r0 = "BABACAAC"], 313)
query8867.smt2.copy2.smt, (sat, [r4 = "S", r5 = "", r16 = "", r15 = "", r7 = "", r17 = "", r12 = "AA", r13 = "", r9 = "", r14 = "D", r8 = "", r11 = "CA", r10 = "BCBAAD", r3 = "TUVWXY", r6 = "", r18 = "", r0 = "CACAABCBAAD"], 724)
query3468.smt2.copy2.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "", r7 = "C", r17 = "", r12 = "C", r13 = "D", r9 = "", r14 = "", r8 = "BD", r11 = "", r10 = "", r3 = "F", r6 = "E", r18 = "", r0 = "CCBDBCCC"], 53)
query3201.smt2.copy1.smt, (sat, [r4 = "", r5 = "", r9 = "", r7 = "", r8 = "", r10 = "", r3 = "A", r6 = "", r0 = "ABBCCC"], 28)
query7958.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "BA", r7 = "", r17 = "CAA", r12 = "", r13 = "", r9 = "CB", r14 = "", r8 = "", r11 = "TUVWXY", r10 = "CBAA", r3 = "MNOPQRS", r6 = "", r18 = "", r0 = "BACBCAACBAA"], 419)
query6136.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "B", r15 = "", r7 = "C", r17 = "", r12 = "", r13 = "", r9 = "", r14 = "", r8 = "A", r11 = "", r10 = "", r3 = "", r6 = "", r18 = "B", r0 = "CBAABAAB"], 86)
query3969.smt2.copy2.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "", r7 = "B", r17 = "", r12 = "B", r13 = "C", r9 = "B", r14 = "", r8 = "A", r11 = "", r10 = "", r3 = "", r6 = "", r18 = "", r0 = "BBACBABB"], 106)
query4319.smt2.copy3.smt, (sat, [r4 = "", r5 = "", r9 = "G", r1 = "E", r8 = "", r7 = "", r2 = "D", r10 = "F", r11 = "", r12 = "", r3 = "", r6 = "", r0 = "ECDBACB"], 30)
query6754.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "CA", r15 = "C", r7 = "", r17 = "B", r12 = "", r13 = "", r9 = "", r14 = "", r8 = "B", r11 = "", r10 = "CCBC", r3 = "", r6 = "", r18 = "", r0 = "CBCABBCCBC"], 500)
query3236.smt2.copy1.smt, (sat, [r4 = "B", r5 = "", r9 = "", r14 = "", r7 = "", r11 = "", r8 = "", r10 = "", r12 = "B", r3 = "C", r6 = "", r13 = "", r0 = "CBBCBCB"], 106)
query4293.smt2.copy1.smt, (sat, [r4 = "", r16 = "B", r5 = "", r15 = "AA", r7 = "", r17 = "A", r12 = "", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "", r10 = "", r3 = "", r6 = "BCC", r18 = "", r0 = "AAABBABCC"], 158)
query6008.smt2.copy3.smt, (sat, [r4 = "B", r5 = "C", r16 = "", r15 = "O", r7 = "N", r17 = "", r12 = "A", r13 = "C", r14 = "", r9 = "", r8 = "K", r11 = "A", r10 = "", r3 = "", r6 = "", r18 = "", r0 = "ABAABCCA"], 122)
query3255.smt2.copy1.smt, (sat, [r4 = "", r5 = "", r9 = "", r7 = "", r8 = "", r10 = "", r3 = "C", r6 = "", r0 = "CBAAAA"], 29)
query3308.smt2.copy1.smt, (sat, [r4 = "", r5 = "", r9 = "", r7 = "", r8 = "", r10 = "", r3 = "D", r6 = "", r0 = "DAAABC"], 28)
query3450.smt2.copy3.smt, (sat, [r4 = "B", r5 = "", r16 = "", r15 = "JKLMN", r7 = "", r17 = "", r12 = "A", r13 = "BB", r9 = "", r14 = "G", r8 = "", r11 = "", r10 = "", r3 = "C", r6 = "AG", r18 = "", r0 = "CABCCBBAG"], 164)
query6966.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "", r15 = "CB", r7 = "", r17 = "A", r12 = "", r13 = "", r9 = "", r14 = "", r8 = "", r11 = "", r10 = "CBB", r3 = "", r6 = "", r18 = "", r0 = "CBCCACBB"], 156)
query5216.smt2.smt, (sat, [r4 = "EM", r5 = "", r16 = "", r15 = "", r7 = "A", r17 = "", r12 = "", r13 = "", r9 = "A", r14 = "", r8 = "CA", r11 = "", r10 = "", r3 = "", r6 = "", r18 = "CAC", r0 = "AACAAACAC"], 273)
query5013.smt2.copy3.smt, (sat, [r4 = "", r5 = "AACA", r16 = "x", r15 = "", r7 = "", r17 = "", r12 = "BA", r13 = "", r14 = "BBBA", r9 = "", r8 = "", r11 = "", r10 = "lw", r3 = "C", r6 = "", r18 = "", r0 = "CBAAACABBBA"], 789)
query3489.smt2.smt, (sat, [r4 = "", r5 = "", r9 = "", r7 = "D", r8 = "", r10 = "", r3 = "", r6 = "", r0 = "DBCBAB"], 26)
query2885.smt2.copy2.smt, (sat, [r5 = "B", r4 = "", r9 = "F", r1 = "", r8 = "", r2 = "", r7 = "", r10 = "", r11 = "", r12 = "", r3 = "", r6 = "E", r0 = "BAECAACA"], 31)
query6136.smt2.copy3.smt, (sat, [r4 = "A", r5 = "", r16 = "F", r15 = "G", r7 = "", r17 = "", r12 = "B", r13 = "B", r9 = "", r14 = "", r8 = "", r11 = "", r10 = "", r3 = "B", r6 = "C", r18 = "", r0 = "BBABACBC"], 71)
query3547.smt2.copy3.smt, (sat, [r4 = "B", r5 = "A", r16 = "M", r15 = "O", r7 = "L", r17 = "", r12 = "C", r13 = "B", r9 = "", r14 = "", r8 = "E", r11 = "C", r10 = "", r3 = "", r6 = "C", r18 = "", r0 = "CBCCBABC"], 149)
query9064.smt2.copy2.smt, (sat, [r4 = "", r5 = "", r0 = "D", r9 = "!2!", r14 = "!7!", r7 = "!0!", r8 = "!1!", r12 = "!5!", r11 = "!4!", r10 = "!3!", r3 = "", r13 = "!6!", r6 = ""], 26)
query8962.smt2.smt, (sat, [r4 = "", r5 = "", r16 = "A", r15 = "A", r7 = "", r17 = "A", r12 = "J", r13 = "", r14 = "", r9 = "CC", r8 = "B", r11 = "KLM", r10 = "", r3 = "", r6 = "", r18 = "B", r0 = "ABACCAABB"], 105)
query4617.smt2.copy2.smt, (sat, [r4 = "L", r5 = "", r16 = "MP", r15 = "", r7 = "D", r17 = "", r12 = "C", r13 = "BBK", r9 = "AB", r14 = "", r8 = "A", r11 = "DC", r10 = "KA", r3 = "N", r6 = "HO", r18 = "", r0 = "DCACABCABBKA"], 192)
query8000.smt2.smt, 